Asset Number,DeviceID,Manufacturer,Model,Image Date,Image Time,Body Part,View,Exposure Index,KAP (uGy.m2),kVp,Exposure (mAs),Exposure time (ms),Image Status,Reject Reason
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,12:52:04 AM,Forearm R,Lateral,320,4.68,55,3,10,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,12:50:56 AM,Forearm R,AP,410,4.49,55,3,10,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,2:56:17 AM,Soft Tissue Neck,Lateral,234,6.72,77,6,17,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,6:15:30 AM,Chest,Lateral L,419,13.14,125,4,7,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,6:14:40 AM,Chest,PA,370,5.09,125,1,2,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,6:54:47 AM,Chest,PA,265,9.34,125,2,4,rejected,Poor  Inspiration
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,6:55:19 AM,Chest,Lateral L,351,73.56,125,19,37,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,6:56:38 AM,Chest,PA,279,8.92,125,2,4,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,8:04:41 AM,Ribs L,PA Obl Ribs (1-7),909,72.81,66,17,17,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,8:03:54 AM,Ribs L,PA Obl Ribs (1-7),"1,118",225.65,66,41,43,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,9:36:22 AM,Ankle R,Lateral,257,3.12,55,3,10,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,9:35:27 AM,Ankle R,AP,152,2.88,55,3,10,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,9:35:52 AM,Ankle R,Oblique,122,2.81,55,3,10,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,9:40:57 AM,Chest,PA,406,3.55,125,1,2,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,10:40:10 AM,Ankle L,Lateral,290,12.04,57,3,10,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,10:32:36 AM,Ankle L,Oblique,208,3.3,57,3,10,confirmed,
123,QHSCHDXC05,Philips,Digital Diagnost,02/07/2020,10:31:52 AM,Ankle L,AP,171,3.04,55,3,10,confirmed,
