Asset Number,Manufacturer,Model,Image Date,Image Time,Body Part,View,Exposure Index,KAP (uGy.m2),kVp,Exposure (mAs),Exposure time (ms),Image Status,Reject Reason
123456789,Philips,Digital Diagnost C90,2020-08-11,18:41:11,DR Long Leg both,AP AEC,266.0,1.65,85.0,1.0,1.0,rejected,Service testing
123456789,Philips,Digital Diagnost C90,2020-08-11,18:41:12,DR Long Leg both,AP AEC,90.0,0.68,77.0,1.0,7.0,rejected,Service testing
123456789,Philips,Digital Diagnost C90,2020-08-11,18:41:14,DR Long Leg both,AP AEC,73.0,0.33,70.0,1.0,11.0,rejected,Service testing
123456789,Philips,Digital Diagnost C90,2020-08-11,18:41:15,DR Long Leg both,AP AEC,,,,,,rejected,Service testing
123456789,Philips,Digital Diagnost C90,2020-08-12,15:12:37,Unknown RIS Code,Unknown RIS Code,1.0,,96.0,1.0,1.0,,
123456789,Philips,Digital Diagnost C90,2020-08-13,12:31:57,Emergency Examination,Emergency View1,255.0,0.98,77.0,2.0,9.0,confirmed,
123456789,Philips,Digital Diagnost C90,2020-08-13,13:04:09,Emergency Examination,Emergency View2,538.0,12.18,73.0,6.0,10.0,confirmed,
123456789,Philips,Digital Diagnost C90,2020-08-13,13:02:23,Emergency Examination,Emergency View2,492.0,2.3,73.0,6.0,10.0,confirmed,
123456789,Philips,Digital Diagnost C90,2020-08-13,12:45:28,Emergency Examination,Emergency View2,3.0,,73.0,50.0,51.0,,
123456789,Philips,Digital Diagnost C90,2020-08-13,12:45:13,Emergency Examination,Emergency View2,3.0,,73.0,40.0,41.0,,
123456789,Philips,Digital Diagnost C90,2020-08-13,12:44:41,Emergency Examination,Emergency View2,2.0,,73.0,32.0,32.0,,
123456789,Philips,Digital Diagnost C90,2020-08-13,12:43:39,Emergency Examination,Emergency View2,2.0,,73.0,32.0,33.0,,
123456789,Philips,Digital Diagnost C90,2020-08-13,12:42:50,Emergency Examination,Emergency View2,855.0,3.29,77.0,8.0,10.0,confirmed,
123456789,Philips,Digital Diagnost C90,2020-08-13,10:15:30,Emergency Examination,Emergency View1,284.0,49.78,81.0,25.0,26.0,rejected,Service testing
123456789,Philips,Digital Diagnost C90,2020-08-13,12:26:01,Emergency Examination,Emergency View2,1.0,,77.0,10.0,10.0,,
123456789,Philips,Digital Diagnost C90,2020-08-13,12:27:43,Emergency Examination,Emergency View1,255.0,0.98,77.0,2.0,9.0,confirmed,
123456789,Philips,Digital Diagnost C90,2020-08-14,07:27:17,Chest,Apical Lordotic,589.0,33.79,81.0,9.0,9.0,confirmed,
123456789,Philips,Digital Diagnost C90,2020-08-14,07:27:06,Chest,Apical Lordotic,522.0,30.07,81.0,8.0,8.0,confirmed,
123456789,Philips,Digital Diagnost C90,2020-08-14,07:26:55,Chest,Apical Lordotic,463.0,26.73,81.0,7.0,8.0,confirmed,
123456789,Philips,Digital Diagnost C90,2020-08-14,07:26:40,Chest,Apical Lordotic,406.0,23.75,81.0,6.0,7.0,confirmed,
123456789,Philips,Digital Diagnost C90,2020-08-14,07:26:28,Chest,Apical Lordotic,366.0,21.15,81.0,6.0,6.0,confirmed,
123456789,Philips,Digital Diagnost C90,2020-08-14,07:26:09,Chest,Apical Lordotic,329.0,19.3,81.0,5.0,5.0,confirmed,
123456789,Philips,Digital Diagnost C90,2020-08-14,07:25:57,Chest,Apical Lordotic,292.0,17.07,81.0,5.0,5.0,confirmed,
