Asset Number,DeviceID,Manufacturer,Model,Image Date,Image Time,Body Part,View,Exposure Index,KAP (uGy.m2),kVp,Exposure (mAs),Exposure time (ms),Image Status,Reject Reason
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,10:39:58 AM,Wrist L,Lateral,473,3.23,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,10:39:25 AM,Wrist L,PA,243,1.5,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,11:19:54 AM,Wrist L,Lateral,615,3.05,57.0,3.0,10.0,rejected,Not True Lateral
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,11:19:18 AM,Wrist L,Lateral,565,3.05,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,11:18:54 AM,Wrist L,PA,416,1.87,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,11:27:13 AM,Ankle R,AP,137,2.25,55.0,3.0,10.0,rejected,Not True Lateral
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,11:28:52 AM,Ankle R,AP,1,2.57,55.0,3.0,10.0,rejected,Wrong Detector Exposed
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,11:27:57 AM,Ankle R,Lateral,142,2.01,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,11:30:12 AM,Ankle R,AP,99,1.61,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,11:29:23 AM,Ankle R,AP,102,1.77,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:13:41 PM,Wrist R,Lateral,574,4.02,57.0,3.0,10.0,rejected,Not True Lateral
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:13:12 PM,Wrist R,Lateral,577,4.02,57.0,3.0,10.0,rejected,Not True Lateral
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:14:05 PM,Wrist R,Lateral,572,4.02,57.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:12:38 PM,Wrist R,PA,494,2.09,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:18:35 PM,Elbow L,Lateral,817,6.05,60.0,3.0,10.0,rejected,Patient Rotated
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:20:03 PM,Elbow L,AP,626,7.13,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:19:18 PM,Elbow L,Lateral,718,6.35,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:29:04 PM,Elbow L,External Oblique,853,2.63,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:28:09 PM,Elbow L,External Oblique,768,2.63,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:27:25 PM,Elbow L,AP,542,3.22,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:26:34 PM,Elbow L,Lateral,"1,272",3.51,60.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,1:45:49 PM,Wrist L,PA,380,3.16,55.0,2.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,2:12:25 PM,Hand L,Lateral,330,3.06,55.0,3.0,10.0,confirmed,
12345667,QHSCHDXC07,Philips,Digital Diagnost,02/07/2020,2:12:05 PM,Hand L,PA,465,2.62,52.0,2.0,10.0,confirmed,
